dms,epoch,avg_zero_shot_fitness_spearman
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,1,0.4956611080824557
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,2,0.4652215934026438
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,3,0.4543606361888257
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,4,0.4493212011354025
DYR_ECOLI_Nguyen_2023,-1,0.5442490646225981
DYR_ECOLI_Nguyen_2023,0,0.5377663436352588
DYR_ECOLI_Nguyen_2023,1,0.4665492278210853
DYR_ECOLI_Nguyen_2023,2,0.3161339204417447
DYR_ECOLI_Nguyen_2023,3,0.2765622531103194
DYR_ECOLI_Nguyen_2023,4,0.25543826505246436
DYR_ECOLI_Thompson_2019,-1,0.48000750928813185
DYR_ECOLI_Thompson_2019,0,0.49126401404518477
DYR_ECOLI_Thompson_2019,1,0.47509223293691116
DYR_ECOLI_Thompson_2019,2,0.37834994891780505
DYR_ECOLI_Thompson_2019,3,0.3362715078157067
DYR_ECOLI_Thompson_2019,4,0.3228694678340088
ENVZ_ECOLI_Ghose_2023,-1,0.17161343958121153
ENVZ_ECOLI_Ghose_2023,0,0.1640338639014094
ENVZ_ECOLI_Ghose_2023,1,0.10001830299745322
ENVZ_ECOLI_Ghose_2023,2,0.07671484706676515
ENVZ_ECOLI_Ghose_2023,3,0.06637779419627844
ENVZ_ECOLI_Ghose_2023,4,0.06297290115166268
ENV_HV1B9_DuenasDecamp_2016,-1,0.011963195215834499
ENV_HV1B9_DuenasDecamp_2016,0,0.0019291581952280345
ENV_HV1B9_DuenasDecamp_2016,1,0.16520705531043023
ENV_HV1B9_DuenasDecamp_2016,2,0.15288020807949604
ENV_HV1B9_DuenasDecamp_2016,3,0.22597451376560454
ENV_HV1B9_DuenasDecamp_2016,4,0.29571909310245637
ENV_HV1BR_Haddox_2016,-1,0.0456583185306374
ENV_HV1BR_Haddox_2016,0,0.19279536511103892
ENV_HV1BR_Haddox_2016,1,0.26246084788098384
ENV_HV1BR_Haddox_2016,2,0.27099226856573044
ENV_HV1BR_Haddox_2016,3,0.2746473572503297
ENV_HV1BR_Haddox_2016,4,0.2651236386124478
EPHB2_HUMAN_Tsuboyama_2023_1F0M,-1,0.8104208376751028
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0,0.7996080888957638
EPHB2_HUMAN_Tsuboyama_2023_1F0M,1,0.7576715905614014
EPHB2_HUMAN_Tsuboyama_2023_1F0M,2,0.728937422534051
EPHB2_HUMAN_Tsuboyama_2023_1F0M,3,0.7152335604748392
EPHB2_HUMAN_Tsuboyama_2023_1F0M,4,0.7124255134036523
ERBB2_HUMAN_Elazar_2016,-1,0.4219513367268739
ERBB2_HUMAN_Elazar_2016,0,0.3274869691377013
ERBB2_HUMAN_Elazar_2016,1,0.23621122834090838
ERBB2_HUMAN_Elazar_2016,2,0.2616899358317678
ERBB2_HUMAN_Elazar_2016,3,0.24615325999944287
ERBB2_HUMAN_Elazar_2016,4,0.22450499175439353
ESTA_BACSU_Nutschel_2020,-1,0.29956162671785025
ESTA_BACSU_Nutschel_2020,0,0.31107495835394194
ESTA_BACSU_Nutschel_2020,1,0.3040375996439123
ESTA_BACSU_Nutschel_2020,2,0.3305190003597937
ESTA_BACSU_Nutschel_2020,3,0.355891376703121
ESTA_BACSU_Nutschel_2020,4,0.36594547995747095
F7YBW7_MESOW_Ding_2023,-1,0.4457617152303191
F7YBW7_MESOW_Ding_2023,0,0.4476236698359752
F7YBW7_MESOW_Ding_2023,1,0.4457526115550031
F7YBW7_MESOW_Ding_2023,2,0.4312260588711967
F7YBW7_MESOW_Ding_2023,3,0.4330821984329408
F7YBW7_MESOW_Ding_2023,4,0.4467828485934231
F7YBW8_MESOW_Aakre_2015,-1,0.3825459069432418
F7YBW8_MESOW_Aakre_2015,0,0.43679480402184
F7YBW8_MESOW_Aakre_2015,1,0.4542238106986438
F7YBW8_MESOW_Aakre_2015,2,0.4461483338552264
F7YBW8_MESOW_Aakre_2015,3,0.45237578338658335
F7YBW8_MESOW_Aakre_2015,4,0.4461867640732338
FECA_ECOLI_Tsuboyama_2023_2D1U,-1,0.5236701630572127
FECA_ECOLI_Tsuboyama_2023_2D1U,0,0.4574001509254113
FECA_ECOLI_Tsuboyama_2023_2D1U,1,0.2595322349742127
FECA_ECOLI_Tsuboyama_2023_2D1U,2,0.22999606313792018
FECA_ECOLI_Tsuboyama_2023_2D1U,3,0.2232266693364885
FECA_ECOLI_Tsuboyama_2023_2D1U,4,0.22306271625924873
FKBP3_HUMAN_Tsuboyama_2023_2KFV,-1,0.18775860917999507
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0,0.22043010186882142
FKBP3_HUMAN_Tsuboyama_2023_2KFV,1,0.3939365562269201
FKBP3_HUMAN_Tsuboyama_2023_2KFV,2,0.37210525706505715
FKBP3_HUMAN_Tsuboyama_2023_2KFV,3,0.33817281863538845
FKBP3_HUMAN_Tsuboyama_2023_2KFV,4,0.28071119339041556
GAL4_YEAST_Kitzman_2015,-1,0.6675076675866277
GAL4_YEAST_Kitzman_2015,0,0.6607495521851814
GAL4_YEAST_Kitzman_2015,1,0.654877804592839
GAL4_YEAST_Kitzman_2015,2,0.6519221105182904
GAL4_YEAST_Kitzman_2015,3,0.651543206362554
GAL4_YEAST_Kitzman_2015,4,0.6541396459561966
GCN4_YEAST_Staller_2018,-1,0.28099969981000866
GCN4_YEAST_Staller_2018,0,0.28707921202011444
GCN4_YEAST_Staller_2018,1,0.28710253618825093
GCN4_YEAST_Staller_2018,2,0.28559703048917606
GCN4_YEAST_Staller_2018,3,0.2838740953285453
GCN4_YEAST_Staller_2018,4,0.2843148477189492
GDIA_HUMAN_Silverstein_2021,-1,0.39695528214955494
GDIA_HUMAN_Silverstein_2021,0,0.34896970303557295
GDIA_HUMAN_Silverstein_2021,1,0.3458721564068856
GDIA_HUMAN_Silverstein_2021,2,0.3361710134273407
GDIA_HUMAN_Silverstein_2021,3,0.33719118593222985
GDIA_HUMAN_Silverstein_2021,4,0.32267096521548516
GFP_AEQVI_Sarkisyan_2016,-1,0.10794965417680599
GFP_AEQVI_Sarkisyan_2016,0,0.13814734684546576
GFP_AEQVI_Sarkisyan_2016,1,0.2038074909096295
GFP_AEQVI_Sarkisyan_2016,2,0.31947620813882666
GFP_AEQVI_Sarkisyan_2016,3,0.4400907210173435
GFP_AEQVI_Sarkisyan_2016,4,0.5530933714238331
GLPA_HUMAN_Elazar_2016,-1,0.4251450440232071
GLPA_HUMAN_Elazar_2016,0,0.42548776407804234
GLPA_HUMAN_Elazar_2016,1,0.42598144415703115
GLPA_HUMAN_Elazar_2016,2,0.41542566646810675
GLPA_HUMAN_Elazar_2016,3,0.39724355155896834
GLPA_HUMAN_Elazar_2016,4,0.37337717974034884
GRB2_HUMAN_Faure_2021,-1,0.6474608932526762
GRB2_HUMAN_Faure_2021,0,0.6321394217360271
GRB2_HUMAN_Faure_2021,1,0.5927872286463045
GRB2_HUMAN_Faure_2021,2,0.5524234142594412
